program_id;dune_label;program_name;raiku_category;raiku_product;pct_base;normal_base_lamports;priority_lamports;jito_tip_lamports;priority_plus_jito_lamports;total_lamports;jito_share_of_total;jito_share_of_priority_jito
JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4;jupiter_v6;Jupiter V6;dex;both;14.04;99298672;551106446;19907756;36897267;707210141;2.81;3.49
ComputeBudget111111111111111111111111111111;;ComputeBudget;system;neither;5.19;10151640;170783359;11226253;3408980;195570232;5.74;6.17
ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL;spl_atoken;Associated Token;system;neither;26.56;38144706;93351390;10591181;1520611;143607888;7.38;10.19
pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA;pumpdotfun;Pump.fun AMM;dex;potential;44.52;53432230;61794244;3743230;1053764;120023468;3.12;5.71
11111111111111111111111111111111;system_program;System Program;system;neither;50.61;60203799;41663026;14921440;2166169;118954434;12.54;26.37
cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG;meteora;Meteora DAMM v2;dex;both;2.39;2419728;84350286;14307048;330252;101407314;14.11;14.5
TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA;spl_token;Token Program;system;neither;23.74;11308483;33325304;2693234;316609;47643630;5.65;7.48
FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9;;Flash Trade;perps;both;4.42;683168;13864556;29309;884560;15461593;0.19;0.21
6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P;pumpdotfun;Pump.fun;dex;potential;22.26;3180718;9899794;248916;958198;14287626;1.74;2.45
CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK;raydium_clmm;Raydium CLMM;dex;both;13.87;1800398;10817920;350238;12456;12981012;2.7;3.14
dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH;drift_v2;Drift Protocol;perps;both;3.07;385086;12137022;3976;1468;12527552;0.03;0.03
