program_id;day;tx_count;success_count;base_fees_sol;priority_fees_sol;total_fees_sol;total_cu
9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp;2026-02-09;9073814;6343390;45.36907;3.34766;48.71673;3085219424
BiSoNHVpsVZW2F7rx2eQ59yQwKxzU5NvBcmKshCSUypi;2026-02-09;4007196;2102913;20.03598;5.918276;25.954256;1103337514
routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS;2026-02-09;38869;29718;0.194345;1.262782;1.457127;4449774792
DT3X9y2w3S13M4GiQNbMtsrYeA9eEZpLg6frM4V28at5;2026-02-09;60871;60871;0.304355;0.879405;1.18376;491362536
7SyiQ664tWYCyWyKDftkfLspE85pJrUR4kJQwb6brYb9;2026-02-09;62921;62921;0.314605;0.32872;0.643325;160375623
KLend2g3cP87fffoy8q1mQqGKjrxjC8boSyAYavgmjD;2026-02-09;2128;1876;0.01064;0.46063;0.47127;258617801
phDEVv4w6BcfkLrLNeXr8HhhgQxnxziVGXpGPcaadMf;2026-02-09;94221;86270;0.471105;0;0.471105;18158664899
675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8;2026-02-09;11522;11338;0.05761;0.34025;0.39786;327290845
HFn8GnPADiny6XqUoWE8uRPPxb29ikn4yTuPa9MF2fWJ;2026-02-09;2733;2716;0.013665;0.28013;0.293795;629465683
pythWSnswVUd12oZpeFP8e9CVaEqJg25g1Vtc2biRsT;2026-02-09;31712;31705;0.15856;0.022875;0.181435;2478519207
FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9;2026-02-09;32478;30763;0.16239;0;0.16239;2680938583
dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN;2026-02-09;17285;16469;0.086425;0.063072;0.149497;1482055649
LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo;2026-02-09;10963;10476;0.054815;0.091648;0.146463;388172483
EmTX93xYtDE3h7G5EF2m9VRPE1UT1XBoohpVmEzE4oEU;2026-02-09;11043;11043;0.055215;0.079775;0.13499;87769315
JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4;2026-02-09;21954;21828;0.10977;0.006186;0.115956;4377823319
RangohQxaWip6i1twAAnRVLmob9j88fid7sq2DMAATW;2026-02-09;704;643;0.00352;0.087545;0.091065;149258461
cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG;2026-02-09;5297;3772;0.026485;0.057646;0.084131;275620817
ENicYBBNZQ91toN7ggmTxnDGZW14uv9UkumN7XBGeYJ4;2026-02-09;842;831;0.00421;0.068042;0.072252;63342143
FarmsPZpWu9i7Kky8tPN37rs2TpmMrAZrC7S7vJa91Hr;2026-02-09;1086;1086;0.00543;0.054299;0.059729;98212708
CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C;2026-02-09;4812;4307;0.02406;0.01546;0.03952;163824010
FHKBuiohcYB5n636h7UmHahRGU5UCHX8CSb6DNSUqX65;2026-02-09;7282;7277;0.03641;0;0.03641;225026639
CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK;2026-02-09;3105;2939;0.015525;0.01341;0.028935;240529635
dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH;2026-02-09;5568;5323;0.02784;0.00086;0.0287;1179948621
APR1MEny25pKupwn72oVqMH4qpDouArsX8zX4VwwfoXD;2026-02-09;1896;1817;0.00948;0.014287;0.023767;237363039
6WPHMhYD7JLAF1HEtC6Ddkn93ADbGtyC93HUh7wy75m2;2026-02-09;4612;4612;0.02306;0;0.02306;64051474
MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms;2026-02-09;4545;3856;0.022725;0.000132;0.022857;114037215
FLASH6Lo6h3iasJKWDs2F8TkW2UKf3s15C8PMGuVfgBn;2026-02-09;1896;1863;0.00948;0.009441;0.018921;222782368
whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc;2026-02-09;2154;2040;0.01077;0.007199;0.017969;65736827
D4aBeFn9DBhU41kFNvr9kVKRuBy858ATxwTevmJCCJYL;2026-02-09;700;700;0.0035;0.013605;0.017105;51759157
Eo7WjKq67rjJQSZxS6z3YkapzY3eMj6Xy8X5EQVn5UaB;2026-02-09;592;512;0.00296;0.013546;0.016506;62523439
wMNFSTkir3HgyZTsB7uqu3i7FA73grFCptPXgrZjksL;2026-02-09;2594;2594;0.01297;0.002998;0.015968;191924449
99vQwtBwYtrqqD9YSXbdum3KBdxPAVxYTaQ3cfnJSrN2;2026-02-09;1938;1747;0.00969;0.001935;0.011625;33979842
zapvX9M3uf5pvy4wRPAbQgdQsM1xmuiFnkfHKPvwMiz;2026-02-09;880;880;0.0044;0.006024;0.010424;369132778
jup3YeL8QhtSx1e253b2FDvsMNC87fDrgQZivbrndc9;2026-02-09;1493;1490;0.007465;0;0.007465;140465745
MFv2hWf31Z9kbCa1snEPYctwafyhdvnV7FZnsebVacA;2026-02-09;221;219;0.001105;0.005225;0.00633;82945868
KvauGMspG5k6rtzrqqn7WNn3oZdyKqLKwK2XWQ8FLjd;2026-02-09;750;750;0.00375;0.001643;0.005393;50871885
DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH;2026-02-09;457;429;0.002285;0.002598;0.004883;100737382
PERPHjGBqRHArX4DySjwM6UJHiR3sWAatqfdBS2qQJu;2026-02-09;566;566;0.00283;0;0.00283;89359634
SPoo1Ku8WFXoNDMHPsrGSTSG1Y47rzgn41SLUNakuHy;2026-02-09;333;316;0.001665;5e-06;0.00167;19732168
EtrnLzgbS7nMMy5fbD42kXiUzGg8XQzJ972Xtk1cjWih;2026-02-09;252;226;0.00126;0;0.00126;6804788
T1TANpTeScyeqVzzgNViGDNrkQ6qHz9KrSBS4aNXvGT;2026-02-09;19;12;9.5e-05;0.000549;0.000644;3023283
MarBmsSgKXdrN1egZf5sqe1TMai9K1rChYNDJgjq7aD;2026-02-09;112;112;0.00056;1.5e-05;0.000575;4951302
strmRqUCoQUgGUan5YhzUZa6KqdzwX5L6FpUxfmKg5m;2026-02-09;67;60;0.000335;1.5e-05;0.00035;3512060
So1endDq2YkqhipRh3WViPa8hdiSpxWy6z3Z6tMCpAo;2026-02-09;39;1;0.000195;0;0.000195;1320318
HpNfyc2Saw7RKkQd8nEL4khUcuPhQ7WwY1B2qjx8jxFq;2026-02-09;1;1;5e-06;0;5e-06;285232
9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp;2026-02-10;7216060;5190330;36.0803;2.273996;38.354296;2516456515
BiSoNHVpsVZW2F7rx2eQ59yQwKxzU5NvBcmKshCSUypi;2026-02-10;3871649;2024989;19.358245;9.126492;28.484737;1059447022
DT3X9y2w3S13M4GiQNbMtsrYeA9eEZpLg6frM4V28at5;2026-02-10;67732;67732;0.33866;0.98256;1.32122;548418999
routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS;2026-02-10;38308;29654;0.19154;0.797306;0.988846;4248493863
7SyiQ664tWYCyWyKDftkfLspE85pJrUR4kJQwb6brYb9;2026-02-10;95353;95353;0.476765;0.486765;0.96353;237086493
phDEVv4w6BcfkLrLNeXr8HhhgQxnxziVGXpGPcaadMf;2026-02-10;86273;78117;0.431365;0;0.431365;17652851818
675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8;2026-02-10;11432;11296;0.05716;0.344962;0.402122;326356899
HFn8GnPADiny6XqUoWE8uRPPxb29ikn4yTuPa9MF2fWJ;2026-02-10;2363;2330;0.011815;0.234212;0.246027;525293503
FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9;2026-02-10;38947;37192;0.194735;0;0.194735;3213384055
LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo;2026-02-10;13727;13425;0.068635;0.114695;0.18333;584750309
pythWSnswVUd12oZpeFP8e9CVaEqJg25g1Vtc2biRsT;2026-02-10;29142;29128;0.14571;0.022964;0.168674;2281988202
JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4;2026-02-10;26778;18674;0.13389;0.02618;0.16007;4713123578
dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN;2026-02-10;17986;16826;0.08993;0.055532;0.145462;1533560482
KLend2g3cP87fffoy8q1mQqGKjrxjC8boSyAYavgmjD;2026-02-10;1766;1601;0.00883;0.127712;0.136542;225236146
RangohQxaWip6i1twAAnRVLmob9j88fid7sq2DMAATW;2026-02-10;618;535;0.00309;0.097453;0.100543;127269710
cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG;2026-02-10;5422;3245;0.02711;0.066512;0.093622;292845556
ENicYBBNZQ91toN7ggmTxnDGZW14uv9UkumN7XBGeYJ4;2026-02-10;890;881;0.00445;0.07213;0.07658;67259049
