program_id;day;tx_count;success_count;base_fees_sol;priority_fees_sol;total_fees_sol;total_cu
9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp;2026-02-04;14110027;8459445;70.550135;7.121368;77.671503;4132312463
BiSoNHVpsVZW2F7rx2eQ59yQwKxzU5NvBcmKshCSUypi;2026-02-04;3977268;1935097;19.88634;17.353612;37.239952;1040939273
KLend2g3cP87fffoy8q1mQqGKjrxjC8boSyAYavgmjD;2026-02-04;11199;5482;0.055995;7.067908;7.123903;2615269409
MFv2hWf31Z9kbCa1snEPYctwafyhdvnV7FZnsebVacA;2026-02-04;16653;8858;0.083265;3.344062;3.427327;5016567970
JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4;2026-02-04;178613;43362;0.893065;1.278122;2.171187;21315775271
routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS;2026-02-04;57900;49345;0.2895;1.643505;1.933005;7766883773
HFn8GnPADiny6XqUoWE8uRPPxb29ikn4yTuPa9MF2fWJ;2026-02-04;8247;6488;0.041235;0.799035;0.84027;2146150671
7SyiQ664tWYCyWyKDftkfLspE85pJrUR4kJQwb6brYb9;2026-02-04;66625;66625;0.333125;0.343455;0.67658;167454021
675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8;2026-02-04;10455;10033;0.052275;0.543786;0.596061;302172655
So1endDq2YkqhipRh3WViPa8hdiSpxWy6z3Z6tMCpAo;2026-02-04;1018;387;0.00509;0.508648;0.513738;293593862
phDEVv4w6BcfkLrLNeXr8HhhgQxnxziVGXpGPcaadMf;2026-02-04;87537;87494;0.437685;0;0.437685;20659819067
LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo;2026-02-04;13344;12898;0.06672;0.140289;0.207009;474455749
DT3X9y2w3S13M4GiQNbMtsrYeA9eEZpLg6frM4V28at5;2026-02-04;10169;10169;0.050845;0.146475;0.19732;81904356
pythWSnswVUd12oZpeFP8e9CVaEqJg25g1Vtc2biRsT;2026-02-04;29080;29040;0.1454;0.042246;0.187646;2199103964
CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK;2026-02-04;33909;33553;0.169545;0.014154;0.183699;2590605008
FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9;2026-02-04;33946;30790;0.16973;0;0.16973;2850884179
cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG;2026-02-04;6492;4709;0.03246;0.116997;0.149457;340687661
dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN;2026-02-04;18420;17697;0.0921;0.051592;0.143692;1539152569
EmTX93xYtDE3h7G5EF2m9VRPE1UT1XBoohpVmEzE4oEU;2026-02-04;5670;5670;0.02835;0.08133;0.10968;112032481
RangohQxaWip6i1twAAnRVLmob9j88fid7sq2DMAATW;2026-02-04;867;778;0.004335;0.096745;0.10108;171171259
ENicYBBNZQ91toN7ggmTxnDGZW14uv9UkumN7XBGeYJ4;2026-02-04;940;928;0.0047;0.077059;0.081759;71326713
CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C;2026-02-04;4229;3171;0.021145;0.030909;0.052054;131737407
dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH;2026-02-04;10143;4766;0.050715;0.000614;0.051329;1513347805
FarmsPZpWu9i7Kky8tPN37rs2TpmMrAZrC7S7vJa91Hr;2026-02-04;1441;1434;0.007205;0.040267;0.047472;130241776
FHKBuiohcYB5n636h7UmHahRGU5UCHX8CSb6DNSUqX65;2026-02-04;7039;7023;0.035195;0;0.035195;217932910
FLASH6Lo6h3iasJKWDs2F8TkW2UKf3s15C8PMGuVfgBn;2026-02-04;3050;2857;0.01525;0.018627;0.033877;443876710
6WPHMhYD7JLAF1HEtC6Ddkn93ADbGtyC93HUh7wy75m2;2026-02-04;6741;6741;0.033705;0;0.033705;93973190
HpNfyc2Saw7RKkQd8nEL4khUcuPhQ7WwY1B2qjx8jxFq;2026-02-04;1909;1644;0.009545;0.017594;0.027139;143451389
MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms;2026-02-04;5381;4400;0.026905;0.000176;0.027081;123913259
KvauGMspG5k6rtzrqqn7WNn3oZdyKqLKwK2XWQ8FLjd;2026-02-04;1786;1786;0.00893;0.013304;0.022234;442817033
whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc;2026-02-04;1650;1515;0.00825;0.011583;0.019833;109325108
Eo7WjKq67rjJQSZxS6z3YkapzY3eMj6Xy8X5EQVn5UaB;2026-02-04;642;582;0.00321;0.013365;0.016575;70071044
wMNFSTkir3HgyZTsB7uqu3i7FA73grFCptPXgrZjksL;2026-02-04;3046;3042;0.01523;0.000564;0.015794;201500340
DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH;2026-02-04;1575;1366;0.007875;0.007784;0.015659;331434582
fUSioN9YKKSa3CUC2YUc4tPkHJ5Y6XW1yz8y6F7qWz9;2026-02-04;1705;1573;0.008525;0.006561;0.015086;86602112
99vQwtBwYtrqqD9YSXbdum3KBdxPAVxYTaQ3cfnJSrN2;2026-02-04;2293;1959;0.011465;0.0027;0.014165;40127015
APR1MEny25pKupwn72oVqMH4qpDouArsX8zX4VwwfoXD;2026-02-04;931;861;0.004655;0.008372;0.013027;118721159
D4aBeFn9DBhU41kFNvr9kVKRuBy858ATxwTevmJCCJYL;2026-02-04;537;537;0.002685;0.009955;0.01264;38937560
jup3YeL8QhtSx1e253b2FDvsMNC87fDrgQZivbrndc9;2026-02-04;1998;1979;0.00999;0;0.00999;176094486
zapvX9M3uf5pvy4wRPAbQgdQsM1xmuiFnkfHKPvwMiz;2026-02-04;894;894;0.00447;0.005203;0.009673;359229153
PERPHjGBqRHArX4DySjwM6UJHiR3sWAatqfdBS2qQJu;2026-02-04;1668;1666;0.00834;0.00076;0.0091;251298852
EtrnLzgbS7nMMy5fbD42kXiUzGg8XQzJ972Xtk1cjWih;2026-02-04;1217;1130;0.006085;0;0.006085;36977153
SPoo1Ku8WFXoNDMHPsrGSTSG1Y47rzgn41SLUNakuHy;2026-02-04;170;170;0.00085;0.00036;0.00121;11205345
T1TANpTeScyeqVzzgNViGDNrkQ6qHz9KrSBS4aNXvGT;2026-02-04;21;12;0.000105;0.001077;0.001182;2337183
MarBmsSgKXdrN1egZf5sqe1TMai9K1rChYNDJgjq7aD;2026-02-04;121;121;0.000605;2e-05;0.000625;5511040
FW6zUqn4iKRaeopwwhwsquTY6ABWLLgjxtrC3VPnaWBf;2026-02-04;3;0;1.5e-05;0.000267;0.000282;337478
jCebN34bUfdeUYJT13J1yG16XWQpt5PDx6Mse9GUqhR;2026-02-04;24;24;0.00012;0.00012;0.00024;3080189
strmRqUCoQUgGUan5YhzUZa6KqdzwX5L6FpUxfmKg5m;2026-02-04;15;15;7.5e-05;5e-06;8e-05;845720
HuTkmnrv4zPnArMqpbMbFhfwzTR7xfWQZHH1aQKzDKFZ;2026-02-04;1;1;5e-06;0;5e-06;158485
SV2EYYJyRz2YhfXwXnhNAevDEui5Q6yrfyo13WtupPF;2026-02-04;1;1;5e-06;0;5e-06;2215
9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp;2026-02-05;27506780;13942594;137.5339;15.108204;152.642104;6928498869
BiSoNHVpsVZW2F7rx2eQ59yQwKxzU5NvBcmKshCSUypi;2026-02-05;5437624;2313163;27.18812;31.834464;59.022584;1298367635
KLend2g3cP87fffoy8q1mQqGKjrxjC8boSyAYavgmjD;2026-02-05;29189;9987;0.145945;30.580568;30.726513;7327324579
MFv2hWf31Z9kbCa1snEPYctwafyhdvnV7FZnsebVacA;2026-02-05;26079;22236;0.130395;4.513184;4.643579;9770135985
JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4;2026-02-05;235215;59708;1.176075;2.61277;3.788845;28444618327
HFn8GnPADiny6XqUoWE8uRPPxb29ikn4yTuPa9MF2fWJ;2026-02-05;17386;12294;0.08693;2.962522;3.049452;4298846927
routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS;2026-02-05;59071;50424;0.295355;1.715988;2.011343;7853150535
So1endDq2YkqhipRh3WViPa8hdiSpxWy6z3Z6tMCpAo;2026-02-05;3143;532;0.015715;1.560084;1.575799;656843382
675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8;2026-02-05;10918;10495;0.05459;1.444203;1.498793;318275722
DT3X9y2w3S13M4GiQNbMtsrYeA9eEZpLg6frM4V28at5;2026-02-05;50437;50437;0.252185;0.730445;0.98263;407877221
7SyiQ664tWYCyWyKDftkfLspE85pJrUR4kJQwb6brYb9;2026-02-05;47168;47168;0.23584;0.23961;0.47545;116627232
LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo;2026-02-05;17463;16613;0.087315;0.322721;0.410036;660356184
phDEVv4w6BcfkLrLNeXr8HhhgQxnxziVGXpGPcaadMf;2026-02-05;78800;78786;0.394;0;0.394;20119081462
pythWSnswVUd12oZpeFP8e9CVaEqJg25g1Vtc2biRsT;2026-02-05;36779;36768;0.183895;0.032355;0.21625;2705435590
cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG;2026-02-05;5701;4232;0.028505;0.177839;0.206344;315971830
FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9;2026-02-05;40949;39372;0.204745;0;0.204745;3697682275
FLASH6Lo6h3iasJKWDs2F8TkW2UKf3s15C8PMGuVfgBn;2026-02-05;5170;4669;0.02585;0.170847;0.196697;761588184
FarmsPZpWu9i7Kky8tPN37rs2TpmMrAZrC7S7vJa91Hr;2026-02-05;2311;2310;0.011555;0.174699;0.186254;206850412
RangohQxaWip6i1twAAnRVLmob9j88fid7sq2DMAATW;2026-02-05;1030;862;0.00515;0.151364;0.156514;208284684
dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN;2026-02-05;13502;12720;0.06751;0.044721;0.112231;1162274294
CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C;2026-02-05;4312;3969;0.02156;0.087737;0.109297;149552055
dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH;2026-02-05;21149;11972;0.105745;0.000846;0.106591;3600328277
ENicYBBNZQ91toN7ggmTxnDGZW14uv9UkumN7XBGeYJ4;2026-02-05;957;933;0.004785;0.077936;0.082721;72543358
CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK;2026-02-05;9950;9517;0.04975;0.028217;0.077967;776263601
EmTX93xYtDE3h7G5EF2m9VRPE1UT1XBoohpVmEzE4oEU;2026-02-05;5845;5842;0.029225;0.029695;0.05892;38115816
whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc;2026-02-05;2709;2044;0.013545;0.036894;0.050439;143570359
FHKBuiohcYB5n636h7UmHahRGU5UCHX8CSb6DNSUqX65;2026-02-05;7763;7717;0.038815;0;0.038815;239915862
Eo7WjKq67rjJQSZxS6z3YkapzY3eMj6Xy8X5EQVn5UaB;2026-02-05;898;738;0.00449;0.025596;0.030086;94320602
KvauGMspG5k6rtzrqqn7WNn3oZdyKqLKwK2XWQ8FLjd;2026-02-05;2251;2251;0.011255;0.018316;0.029571;448901614
6WPHMhYD7JLAF1HEtC6Ddkn93ADbGtyC93HUh7wy75m2;2026-02-05;5771;5771;0.028855;0;0.028855;81983640
MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms;2026-02-05;4831;4030;0.024155;0.002408;0.026563;107187839
99vQwtBwYtrqqD9YSXbdum3KBdxPAVxYTaQ3cfnJSrN2;2026-02-05;3128;2562;0.01564;0.002595;0.018235;55548828
wMNFSTkir3HgyZTsB7uqu3i7FA73grFCptPXgrZjksL;2026-02-05;3165;3158;0.015825;0.000152;0.015977;210963069
DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH;2026-02-05;1406;1178;0.00703;0.008689;0.015719;275972724
PERPHjGBqRHArX4DySjwM6UJHiR3sWAatqfdBS2qQJu;2026-02-05;2852;2850;0.01426;0.000771;0.015031;423116943
jup3YeL8QhtSx1e253b2FDvsMNC87fDrgQZivbrndc9;2026-02-05;2489;2440;0.012445;0.0006;0.013045;215479179
zapvX9M3uf5pvy4wRPAbQgdQsM1xmuiFnkfHKPvwMiz;2026-02-05;1119;1119;0.005595;0.004913;0.010508;479784755
APR1MEny25pKupwn72oVqMH4qpDouArsX8zX4VwwfoXD;2026-02-05;773;709;0.003865;0.006458;0.010323;91523061
HpNfyc2Saw7RKkQd8nEL4khUcuPhQ7WwY1B2qjx8jxFq;2026-02-05;23;11;0.000115;0.008357;0.008472;3031984
