primary_program;program_name;tx_count;success_count;avg_fee_per_cu_lamports;median_fee_per_cu;p25_fee_per_cu;p75_fee_per_cu;avg_cu_consumed;total_fees_sol;total_cu_billions
ComputeBudget111111111111111111111111111111;ComputeBudget (System);694613130;492066511;13.0276;0.1779;0.0682;2.3893;72033;36623.91;50035.3879
11111111111111111111111111111111;System Program;124437113;86116446;13.4864;3.3067;0.2291;8.7167;47755;18289.08;5942.4475
9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp;Unknown (Trading Bot?);82162435;47475849;94.9683;17.6805;10.325;197.3972;287;441.74;23.5739
jesterKqzZ7hWfNLnUDeB8WtMrm7a44g2vSyhs7WmyT;Jester (Trading Bot);246901;38830;8.2213;0.2231;0.0898;0.8974;172545;344.83;42.6016
ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL;Associated Token Account;30692000;26844308;0.1344;0.0706;0.0434;0.0834;103805;298.31;3185.9942
BiSoNHVpsVZW2F7rx2eQ59yQwKxzU5NvBcmKshCSUypi;BisonFi (PropAMM);27994522;16192300;65.3786;24.2789;11.6367;115.3843;343;227.78;9.6132
TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA;Token Program;8002947;7711522;1.565;0.6601;0.6601;1.0753;9667;92.9;77.3624
Bgo4vNe3vxRv37j8mmQarJo8vbjHEKgkhJDZzxiizBid;Unknown (High-Fee Bot);88468;19542;37.0975;6.9731;4.6162;71.922;78921;55.36;6.982
King7ki4SKMBPb3iupnQwTyjsq294jaXsgLmJo8cb7T;Unknown (Trading Bot);1003124;44165;0.979;0.3177;0.2128;0.3947;26978;46.77;27.0624
6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P;Pump.fun;1028169;741637;0.6498;0.1446;0.0928;0.5839;75895;31.67;78.0331
8Ue7UGaqgk9GR3YphyDMe9TX4rdUqsbVXfPcFbzM5LDE;Unknown (High CU/Low Fee);3083998;11673;0.0427;0.0225;0.0136;0.0489;320995;25.25;989.9495
TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb;Token-2022;2297512;2240966;1.8322;0.8939;0.3281;3.0627;13399;24.35;30.7853
Ed25519SigVerify111111111111111111111111111;Ed25519 Sig Verify;1972206;1963948;0.9095;0.9193;0.9193;0.9193;12101;22.18;23.865
FtyzXdj1NRexpX3WJqxs4qaqo2S2LehiRPyPY9hWDarn;Unknown (DeFi);634970;611085;1.4892;0.6118;0.3963;1.0112;23916;18.06;15.1862
MemoSq4gqABAXKb96qnH8TysNcWxMyWCqXgDLGmfcHr;Memo Program;432872;406840;0.8272;0.1527;0.0666;0.4425;69615;17.08;30.1344
pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA;Pump AMM;304868;300617;0.4817;0.0509;0.0458;0.0555;120394;13.5;36.7044
4pjbtQCpaXFrmT7wcfuCQnAWLCUhRuK9CKQyvou1F5xo;Unknown (Keeper/Bot);549729;549729;0.137;0.1584;0.1008;0.1683;155941;10.99;85.7252
BPFLoaderUpgradeab1e11111111111111111111111;BPF Loader;2084372;2084135;2.0914;2.1097;1.9119;2.1097;2478;10.77;5.1657
routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS;Jupiter Route;326027;263791;0.2988;0.1398;0.1012;0.2256;114054;9.7;37.1846
45fCmmKfFjZ1bYu7zHyUPYsfPauQAD1RVinUmBp8DbSb;Unknown (Trading);327767;106758;2.1139;0.8064;0.3193;3.7636;34336;8.33;11.2541
CoqTVH4YViufSd8idZ7WwndUQUDWnTT6yERGjXfjQd52;Unknown (DEX/AMM);712691;35364;0.0715;0.0695;0.0615;0.0789;163805;7.85;116.7426
KeccakSecp256k11111111111111111111111111111;Keccak Secp256k1;293101;286759;0.8939;0.7551;0.7457;0.8364;29681;7.38;8.6995
BGUMAp9Gq7iTEuizy4pqaxsTyUCBK68MDfK752saRPUY;Bubblegum (cNFTs);1010035;1007577;0.1092;0.0942;0.0825;0.1073;74788;7.26;75.5389
EtrnLzgbS7nMMy5fbD42kXiUzGg8XQzJ972Xtk1cjWih;Unknown (High-Fee Bot);468918;310072;17.8698;15.625;15.6146;23.4902;1527;6.92;0.7161
phDEVv4w6BcfkLrLNeXr8HhhgQxnxziVGXpGPcaadMf;Unknown (phDEV);1335308;845150;3.2531;4.4796;0.0131;6.3788;170614;6.68;227.8225
JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4;Jupiter V6;319957;162043;0.2736;0.0541;0.0255;0.1791;145407;5.49;46.5241
KLend2g3cP87fffoy8q1mQqGKjrxjC8boSyAYavgmjD;Kamino Lending;13008;11191;2.3774;0.1302;0.073;0.2711;127410;4.87;1.6573
675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8;Raydium V4 AMM;63443;61825;2.4931;0.1784;0.1779;0.1785;28614;4.41;1.8154
DT3X9y2w3S13M4GiQNbMtsrYeA9eEZpLg6frM4V28at5;Unknown (Oracle/Feed);223749;223749;2.4653;2.4737;2.473;2.4737;7888;4.35;1.7649
MEXkeo4BPUCZuEJ4idUUwMPu4qvc9nkqtLn3yAyZLxg;Marinade (MEX);57273;56534;0.5512;0.2917;0.2851;0.3132;111216;3.82;6.3697
HDwcJBJXjL9FpJ7UBsYBtaDjsBUhuLCUYoz3zr8SWWaQ;Unknown (High CU);166017;165993;0.0521;0.0127;0.0126;0.0251;392313;3.27;65.1306
D4aBeFn9DBhU41kFNvr9kVKRuBy858ATxwTevmJCCJYL;Unknown (Oracle/Feed);260868;260868;3.1634;3.1807;3.127;3.1807;3197;2.61;0.8339
8jaLKWLJAj5jVCZbxpe3zRUvLB3LD48MRtaQ2AjfCfxa;Unknown (DeFi);519365;516606;0.0733;0.066;0.0598;0.0719;76323;2.6;39.6393
SKRskrmtL83pcL4YqLWt6iPefDqwXQWHSw9S9vz94BZ;Unknown (Protocol);338707;338703;0.2063;0.2112;0.2021;0.2134;36131;2.51;12.2377
HFn8GnPADiny6XqUoWE8uRPPxb29ikn4yTuPa9MF2fWJ;Unknown (DEX);16941;16814;0.7553;0.1128;0.0634;0.2504;219851;2.44;3.7245
CroWg74XNDF8UMnAZVbXx49iVj7iJ7b4CsqTCVWF7aK;Unknown (Cropper?);66030;3273;0.2687;0.138;0.0934;0.2128;155777;2.2;10.286
9VX8EKBg6vM6tA68xaDsPkbrx26XConZjkQmhVApUptc;Unknown (High-Fee Micro);360721;360630;11.1595;11.2764;11.2764;11.2784;539;2.16;0.1945
5bsFrMYiXMEEkVny2x37J1kK3U6h6RbtYGqxNAAFeSV7;Unknown (Trading);64913;10972;0.2473;0.0776;0.0549;0.1266;150258;2.02;9.7537
vBoNdEvzMrSai7is21XgVYik65mqtaKXuSdMBJ1xkW4;Unknown (Protocol);390969;390969;0.0711;0.0701;0.0701;0.0704;71016;1.97;27.7651
T1pyyaTNZsKv2WcRAB8oVnk93mLJw2XzjtVYqCsaHqt;Unknown (Protocol);366457;366457;0.0854;0.0852;0.0849;0.0852;58680;1.83;21.5036
G3z6yQqLP1q2JqFqEwND6rTX3vsnzzr3Vv16pMoSdkcx;Unknown (DeFi);18667;18667;8.1092;0.4417;0.4405;0.4419;11379;1.76;0.2124
FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9;Flash Trade;338869;317124;0.1867;0.0589;0.0443;0.0821;87811;1.69;29.7565
pythWSnswVUd12oZpeFP8e9CVaEqJg25g1Vtc2biRsT;Pyth Oracle;283487;283439;0.0897;0.0538;0.0519;0.1007;77467;1.59;21.9609
cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG;Unknown (DeFi);32702;22333;0.9048;0.4049;0.0833;1.5069;70467;1.4;2.3044
PdMDrKEMaX8q7CCJb7NvUCxerBCcsFUa4LjBEynTtEd;Unknown (Protocol);232418;232414;0.0932;0.0947;0.0885;0.0975;64593;1.39;15.0125
SAGE2HAwep459SNq61LHvjxPk4pLPEJLoMETef7f7EE;Star Atlas (SAGE);276447;276376;0.0934;0.0439;0.0289;0.0971;119592;1.38;33.0608
GH8Ya8jNnovpKH6r4YUiZGmfmv2t4onak1D4Bng4Vudw;Unknown (High CU);38177;38176;0.1714;0.1655;0.1626;0.1698;205612;1.33;7.8497
Stake11111111111111111111111111111111111111;Stake Program;13901;13787;10.6927;0.387;0.3431;0.5153;16668;1.22;0.2317
1avaAUcjccXCjSZzwUvB2gS3DzkkieV2Mw8CjdN65uu;Unknown (Arb Bot);11790;8429;10.6875;7.2171;6.2125;9.8568;14726;1.2;0.1736
AddressLookupTab1e1111111111111111111111111;Address Lookup Table;188433;185288;0.8364;0.6393;0.4763;0.8221;9153;1.13;1.7247
