"program_id";"tx_count";"jito_tx_count";"jito_tips_sol";"priority_fees_sol";"total_fees_sol";"total_cu";"avg_cu_per_tx";"blocks_touched";"avg_cu_per_block";"jito_tips_per_cu_lamports";"priority_fees_per_cu_lamports"
"9i7QdbBHx7fjLAAaFfcDRgkdS4oNfKv8duzyE27a1kJ6";"5615";"3587";"216,542731";"116,318867";"116,346942";"842472746";"150040";"4914";"171443";"257,0323";"138,0684"
"9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp";"280778962";"24514855";"161,925507";"119,529749";"1523,424559";"85764973655";"305";"6333886";"13541";"1,888";"1,3937"
"AEyodoBDx5vgvEpWLUbNRMYHrSJ113uW2A8avE3GEB7X";"204075";"49960";"157,38717";"2,400545";"3,42092";"9561129873";"46851";"193536";"49402";"16,4611";"0,2511"
"BiSoNHVpsVZW2F7rx2eQ59yQwKxzU5NvBcmKshCSUypi";"105012568";"6108394";"156,277162";"418,48651";"943,54935";"32323135210";"308";"6199806";"5214";"4,8348";"12,947"
"JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4";"2058261";"366660";"117,393495";"22,177698";"32,477778";"256506110371";"124623";"777033";"330110";"0,4577";"0,0865"
"6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P";"4522769";"624445";"95,488998";"67,653023";"115,284193";"290460147972";"64222";"1880790";"154435";"0,3288";"0,2329"
"L6pUpkHtq3CLtJRTrZ9GsBxfweZ8iPS6CnDQMdmcbad";"10359";"10345";"89,33604";"0,002014";"0,053809";"1496004987";"144416";"10258";"145838";"59,7164";"0,0013"
"FsWxHsafrajWKW5YZTT76D8sYCAVfbA4iNoPxNFQqUet";"83671";"83655";"31,20385";"0,003924";"0,422279";"10967188568";"131075";"77567";"141390";"2,8452";"0,0004"
"8yvD3vvuJdXCaxuVKSc81SNgox3vcXfXgLCJii8WKBvU";"2098";"2093";"29,050828";"0,000795";"0,011285";"331643530";"158076";"1950";"170074";"87,5965";"0,0024"
"AtomCf57Gdp49TDf2q6w7ypqEwPEaCCpxbpTdD4RmDQt";"15217";"40";"27,112135";"0,00816";"0,084245";"2177305446";"143084";"14874";"146383";"12,4522";"0,0037"
