program_id;tx_count;jito_tx_count;jito_tips_sol;priority_fees_sol;total_fees_sol;total_cu;avg_cu_per_tx;blocks_touched;avg_cu_per_block;jito_tips_per_cu_lamports;priority_fees_per_cu_lamports
AtomCf57Gdp49TDf2q6w7ypqEwPEaCCpxbpTdD4RmDQt;129;7;1798.16099;0;0.000645;20150632;156206;127;158666;89235.96;0
9i7QdbBHx7fjLAAaFfcDRgkdS4oNfKv8duzyE27a1kJ6;440;313;14.563195;5.646633;5.648833;64202135;145914;386;166327;226.8335;87.9509
6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P;299712;39806;11.305487;4.7265;8.03735;22321866711;74478;120362;185456;0.5065;0.2117
BiSoNHVpsVZW2F7rx2eQ59yQwKxzU5NvBcmKshCSUypi;5800895;301772;7.741096;15.181863;44.186338;1849516346;319;435129;4251;4.1855;8.2086
9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp;16859794;1460826;5.932793;5.58822;89.88719;5168998725;307;439462;11762;1.1478;1.0811
AEyodoBDx5vgvEpWLUbNRMYHrSJ113uW2A8avE3GEB7X;9389;1821;3.609755;0.000642;0.047587;434144726;46240;8997;48254;8.3146;0.0015
9GCBb4NsSDRuEkkGfQkN37oppmMVPops5sXDWhAKAvQQ;2194;93;2.70558;2.74651;2.75748;216218880;98550;132;1638022;12.5132;12.7025
LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo;46660;28499;2.077776;0.783022;1.115567;7641579262;163772;33192;230224;0.2719;0.1025
FsWxHsafrajWKW5YZTT76D8sYCAVfbA4iNoPxNFQqUet;4593;4581;1.854012;0.000646;0.023611;551056033;119977;4375;125956;3.3645;0.0012
8yvD3vvuJdXCaxuVKSc81SNgox3vcXfXgLCJii8WKBvU;109;109;1.426604;0;0.000545;18407138;168873;98;187828;77.5027;0
KLend2g3cP87fffoy8q1mQqGKjrxjC8boSyAYavgmjD;2655;435;1.117068;0.032324;0.045624;343300988;129304;2414;142213;3.2539;0.0942
L6pUpkHtq3CLtJRTrZ9GsBxfweZ8iPS6CnDQMdmcbad;219;219;0.900131;0;0.001095;31928500;145792;219;145792;28.1921;0
