market_condition;program_id;tx_count;success_count;total_fees_sol;total_cu;avg_fee_per_cu_lamports;median_fee_per_cu_lamports;days_observed
extreme;9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp;65104628;34569944;367.3606;17105051503;2.4459;2.1806;3
extreme;BiSoNHVpsVZW2F7rx2eQ59yQwKxzU5NvBcmKshCSUypi;14672450;6528538;142.3996;3602968926;19.1612;16.6711;3
extreme;KLend2g3cP87fffoy8q1mQqGKjrxjC8boSyAYavgmjD;74964;27879;131.1729;21726393522;6.0202;4.1735;3
extreme;JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4;638252;161071;17.8014;77315583083;0.189;0.0919;3
extreme;MFv2hWf31Z9kbCa1snEPYctwafyhdvnV7FZnsebVacA;49808;36982;10.3635;17666744941;0.5725;0.6666;3
extreme;routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS;164320;138861;6.2027;21545297716;0.2498;0.2185;3
extreme;HFn8GnPADiny6XqUoWE8uRPPxb29ikn4yTuPa9MF2fWJ;33167;25977;6.1185;8276900030;0.7192;0.6891;3
extreme;So1endDq2YkqhipRh3WViPa8hdiSpxWy6z3Z6tMCpAo;4900;1232;4.107;1212022220;3.3683;2.3751;3
extreme;675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8;36297;34992;3.6292;1052924064;3.2744;3.3752;3
extreme;DT3X9y2w3S13M4GiQNbMtsrYeA9eEZpLg6frM4V28at5;100272;100272;1.9513;809938003;1.7901;1.7897;3
extreme;7SyiQ664tWYCyWyKDftkfLspE85pJrUR4kJQwb6brYb9;152308;152308;1.5423;380375333;2.0525;2.0526;3
extreme;phDEVv4w6BcfkLrLNeXr8HhhgQxnxziVGXpGPcaadMf;249121;247041;1.2456;60504223977;0.0;0.0;3
extreme;LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo;46900;44745;1.0294;1691668235;0.4699;0.4887;3
extreme;FLASH6Lo6h3iasJKWDs2F8TkW2UKf3s15C8PMGuVfgBn;12174;11141;0.5971;1751387261;0.3062;0.2243;3
extreme;pythWSnswVUd12oZpeFP8e9CVaEqJg25g1Vtc2biRsT;99414;99353;0.5962;7475342299;0.0133;0.012;3
extreme;cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG;19856;14823;0.5318;1004002994;0.4308;0.3964;3
extreme;FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9;99988;93455;0.4999;8623825222;0.0;0.0;3
extreme;FarmsPZpWu9i7Kky8tPN37rs2TpmMrAZrC7S7vJa91Hr;5196;5188;0.4425;466619563;0.8926;0.8446;3
