program_id;tx_count;success_count;total_fees_sol;priority_fees_sol;total_cu;avg_cu_consumed;avg_cu_per_block;blocks_touched;median_priority_fee_per_cu_lamports;p25_priority_fee_per_cu_lamports;p75_priority_fee_per_cu_lamports;avg_priority_fee_per_cu_lamports
ComputeBudget111111111111111111111111111111;2584804691;1892932961;149934.5702;149934.5702;187181817728893;72416;28035689;6676555;0.1802;0.0736;2.6807;13.8684
11111111111111111111111111111111;461951427;310498533;75901.7255;75901.7255;25019225965311;54160;3748372;6674692;3.8621;0.1549;9.6714;13.2212
9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp;293889528;182505143;1593.5173;1593.5173;89751781592;305;13482;6656944;29.2738;10.3277;193.3153;87.9438
ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL;125329467;112424065;1230.003;1230.003;14582382587071;116352;2215848;6580949;0.0549;0.0445;0.0834;0.1284
BiSoNHVpsVZW2F7rx2eQ59yQwKxzU5NvBcmKshCSUypi;110080380;60719942;983.3864;983.3864;33845444687;307;5190;6520940;32.6337;11.5116;104.9967;83.3669
jesterKqzZ7hWfNLnUDeB8WtMrm7a44g2vSyhs7WmyT;572857;90597;698.7008;698.7008;98204638080;171430;298899;328555;0.2534;0.0856;0.936;7.2954
StenDH7EmnXdcniwsXgTWtN1ogfQksZ1C5UGBr7dNBG;920648;78013;496.7112;496.7112;132326980451;143732;339522;389745;0.1997;0.0849;0.8076;5.7611
King7ki4SKMBPb3iupnQwTyjsq294jaXsgLmJo8cb7T;2837522;175764;407.7921;407.7921;81143881322;28597;43417;1868946;0.3129;0.2122;0.4198;2.3316
TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA;31074510;30134487;364.9864;364.9864;340693601329;10964;75173;4532125;0.6601;0.6601;1.064;1.5313
KLend2g3cP87fffoy8q1mQqGKjrxjC8boSyAYavgmjD;169981;118213;143.9861;143.9861;30541348875;179675;284275;107436;0.2006;0.0818;3.7888;3.7061
6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P;4737978;3216517;121.4407;121.4407;305693802021;64520;154909;1973378;0.1667;0.0964;0.5969;0.5736
9i7QdbBHx7fjLAAaFfcDRgkdS4oNfKv8duzyE27a1kJ6;5905;5724;119.7285;119.7285;886200923;150076;171114;5179;0.0462;0.0318;67.9615;122.5381
Bgo4vNe3vxRv37j8mmQarJo8vbjHEKgkhJDZzxiizBid;144545;31872;87.1235;87.1235;11399878982;78867;267139;42674;6.5964;4.3869;69.9587;35.2665
G2E4eoenFMirpFKRfHNo2koDP7mrhnNWVwxyHASSpjQD;123864;484;83.6638;83.6638;18747362373;151354;6352885;2951;2.9397;1.2405;6.9971;4.9915
TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb;7701822;7437629;81.5158;81.5158;99123462075;12870;45812;2163693;1.229;0.342;3.2116;2.0367
Ed25519SigVerify111111111111111111111111111;5996222;5973683;66.0878;66.0878;96655504365;16119;29305;3298284;0.9193;0.9193;0.9193;0.8777
