program_id;tx_count;success_count;base_fees_sol;priority_fees_sol;total_fees_sol;total_cu;avg_cu_per_tx;avg_cu_per_block;blocks_touched;base_only_tx_count;priority_tx_count;median_priority_fee_per_cu_lamports;p25_priority_fee_per_cu_lamports;p75_priority_fee_per_cu_lamports;avg_priority_fee_per_cu_lamports
ComputeBudget111111111111111111111111111111;2610102771;1908999216;13050.5139;138135.5852;151186.0991;188951739469010;72392;28084305;6728019;589871748;2020231023;0.0241;0.0011;0.1601;11.9988
11111111111111111111111111111111;466211173;313611391;2331.0559;74196.2651;76527.321;25241632365271;54142;3752764;6726145;168366906;297844267;0.0058;0;0.1984;6.2603
9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp;297407124;184459148;1487.0356;125.399;1612.4346;90726676988;305;13525;6708297;25954833;271452291;0.6978;0.2415;5.1757;8.4604
ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL;126587049;113536178;632.9352;609.4405;1242.3757;14707115722393;116182;2217713;6631660;77827060;48759989;0.0005;0;0.028;0.063
BiSoNHVpsVZW2F7rx2eQ59yQwKxzU5NvBcmKshCSUypi;111053956;61236516;555.2698;436.5721;991.8419;34121431232;307;5192;6572289;8611566;102442390;4.6413;1.239;17.4076;39.4101
jesterKqzZ7hWfNLnUDeB8WtMrm7a44g2vSyhs7WmyT;599534;92350;2.9977;717.8549;720.8526;103329282118;172349;304199;339677;172;599362;0.1966;0.0656;0.863;7.1483
StenDH7EmnXdcniwsXgTWtN1ogfQksZ1C5UGBr7dNBG;920648;78013;4.6032;492.1079;496.7112;132326980451;143732;339522;389745;2703;917945;0.1765;0.0397;0.6967;5.7008
King7ki4SKMBPb3iupnQwTyjsq294jaXsgLmJo8cb7T;2882996;177085;14.415;393.6112;408.0262;82200143570;28512;43363;1895611;111292;2771704;0.009;0.006;0.0119;1.947
TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA;31284610;30342208;156.4231;211.3312;367.7542;342489192395;10948;75054;4563215;24645620;6638990;0;0;0.0147;0.7967
KLend2g3cP87fffoy8q1mQqGKjrxjC8boSyAYavgmjD;170493;118558;0.8525;143.2531;144.1056;30613574501;179559;283980;107802;52226;118267;0.0639;0;3.7736;3.6346
6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P;4775884;3240979;23.8794;98.4783;122.3577;308204663379;64534;154987;1988579;1840960;2934924;0.0691;0;0.4328;0.4475
9i7QdbBHx7fjLAAaFfcDRgkdS4oNfKv8duzyE27a1kJ6;5985;5804;0.0299;120.4537;120.4836;898187851;150073;170823;5258;3854;2131;0;0;68.0102;121.8227
Bgo4vNe3vxRv37j8mmQarJo8vbjHEKgkhJDZzxiizBid;146758;32439;0.7338;87.4979;88.2317;11582227192;78921;266583;43447;5;146753;6.6485;4.3169;69.5741;34.815
G2E4eoenFMirpFKRfHNo2koDP7mrhnNWVwxyHASSpjQD;123864;484;0.6193;83.0445;83.6638;18747362373;151354;6352885;2951;0;123864;2.8675;1.2074;6.6994;4.9535
TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb;7791562;7522017;38.9578;43.2808;82.2386;100208995056;12861;45926;2181953;3623069;4168493;0.1367;0;0.5968;0.7659
Ed25519SigVerify111111111111111111111111111;6058232;6035394;30.2912;36.5247;66.8159;97443809009;16085;29257;3330603;0;6058232;0.4596;0.4596;0.4596;0.4434
