"program_id";"tx_count";"success_count";"base_fees_sol";"priority_fees_sol";"total_fees_sol";"total_cu";"avg_cu_per_tx";"blocks_touched";"avg_cu_per_block";"median_priority_fee_per_cu_lamports";"p25_priority_fee_per_cu_lamports";"p75_priority_fee_per_cu_lamports";"avg_priority_fee_per_cu_lamports"
"9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp";"280778962";"174437602";"1403,89481";"119,529749";"1523,424559";"85764973655";"305";"6333886";"13541";"0,6455";"0,2415";"5,2016";"8,5466"
"BiSoNHVpsVZW2F7rx2eQ59yQwKxzU5NvBcmKshCSUypi";"105012568";"57824313";"525,06284";"418,48651";"943,54935";"32323135210";"308";"6199806";"5214";"3,6541";"0,978";"16,7613";"40,2136"
"jesterKqzZ7hWfNLnUDeB8WtMrm7a44g2vSyhs7WmyT";"513992";"82423";"2,56996";"628,955587";"631,525547";"87391110626";"170024";"296564";"294679";"0,1982";"0,0647";"0,8862";"7,307"
"StenDH7EmnXdcniwsXgTWtN1ogfQksZ1C5UGBr7dNBG";"920648";"78013";"4,60324";"492,107924";"496,711164";"132326980451";"143732";"389745";"339522";"0,165";"0,0378";"0,7056";"5,7008"
"King7ki4SKMBPb3iupnQwTyjsq294jaXsgLmJo8cb7T";"2665701";"167048";"13,45334";"393,454408";"406,907748";"76212665214";"28590";"1743928";"43702";"0,0089";"0,0059";"0,0119";"2,104"
"KLend2g3cP87fffoy8q1mQqGKjrxjC8boSyAYavgmjD";"168139";"116467";"0,840865";"143,10501";"143,945875";"30301375867";"180216";"105772";"286478";"0,0675";"0";"3,8853";"3,679"
"9i7QdbBHx7fjLAAaFfcDRgkdS4oNfKv8duzyE27a1kJ6";"5615";"5441";"0,028075";"116,318867";"116,346942";"842472746";"150040";"4914";"171443";"0";"0";"69,5432";"124,286"
"6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P";"4522769";"3050895";"47,63117";"67,653023";"115,284193";"290460147972";"64222";"1880790";"154435";"0";"0";"0,0006";"0,3351"
"G2E4eoenFMirpFKRfHNo2koDP7mrhnNWVwxyHASSpjQD";"123864";"484";"0,61932";"83,044483";"83,663803";"18747362373";"151354";"2951";"6352885";"2,8517";"1,2138";"6,6929";"4,9535"
"Bgo4vNe3vxRv37j8mmQarJo8vbjHEKgkhJDZzxiizBid";"120261";"26456";"0,601305";"74,682606";"75,283911";"9496041058";"78962";"36126";"262859";"6,9108";"4,5497";"71,2426";"36,0806"
"8Ue7UGaqgk9GR3YphyDMe9TX4rdUqsbVXfPcFbzM5LDE";"7519627";"21116";"37,598135";"26,966134";"64,564269";"2784855273442";"370345";"349683";"7963942";"0,0024";"0,0012";"0,0159";"0,0129"
"pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA";"2141240";"2007220";"10,909425";"51,849013";"62,758438";"217715174284";"101677";"1149936";"189328";"0";"0";"0";"0,2746"
"CroWg74XNDF8UMnAZVbXx49iVj7iJ7b4CsqTCVWF7aK";"610588";"35987";"3,05294";"44,799197";"47,852137";"91644294039";"150092";"360441";"254256";"0,1926";"0,0991";"0,4375";"0,5876"
