epoch;volatility_tag;total_buckets;total_validators;baseline_pf_per_block_sol;baseline_tx_per_block;baseline_mev_per_block_sol;peak_pf_per_block_sol;peak_pf_time;peak_pf_multiple;peak_tx_per_block;peak_tx_time;peak_tx_multiple;peak_tf_per_block_sol;peak_tf_time;peak_tf_multiple;peak_hour_pf_sol;peak_hour_pf_time;peak_hour_tx_avg_per_block;total_skipped_slots;total_blocks;skip_rate_pct
557;elevated;213;1916;0.014491;307.1;0.021177;0.047582;2024-01-08 18:00;3.3;414.1;2024-01-08 22:30;1.3;0.053652;2024-01-08 18:00;2.5;241.82;2024-01-08 17:45;239.1;409648;397452;50.756
558;extreme;209;1905;0.012849;269.0;0.019313;0.04411;2024-01-12 00:30;3.4;404.9;2024-01-11 10:00;1.5;0.050567;2024-01-12 00:30;2.6;207.75;2024-01-10 22:15;210.3;415135;404775;50.632
565;elevated;201;1688;0.026368;354.5;0.032403;0.294895;2024-01-26 15:00;11.2;485.1;2024-01-26 04:00;1.4;0.300744;2024-01-26 15:00;9.3;1084.19;2024-01-26 14:45;306.4;425730;422858;50.169
567;extreme;201;1705;0.040545;330.7;0.04598;0.857284;2024-01-31 15:00;21.1;429.1;2024-01-31 15:00;1.3;0.865421;2024-01-31 15:00;18.8;3580.54;2024-01-31 15:00;347.5;426918;424072;50.167
568;elevated;201;1676;0.034145;349.5;0.039368;0.136578;2024-02-02 02:45;4.0;471.1;2024-02-02 23:45;1.3;0.141614;2024-02-02 02:45;3.6;628.38;2024-02-01 21:15;378.9;425770;422445;50.196
571;elevated;198;1642;0.018946;383.8;0.025717;0.06294;2024-02-09 00:00;3.3;518.6;2024-02-08 22:45;1.4;0.068952;2024-02-09 00:00;2.7;344.13;2024-02-09 00:00;444.7;426312;423712;50.153
581;extreme;199;1570;0.009305;287.3;0.014559;0.025155;2024-02-28 17:30;2.7;365.6;2024-02-28 19:45;1.3;0.030243;2024-02-28 17:30;2.1;169.05;2024-02-28 16:15;292.5;4495;422201;1.053
582;elevated;199;1565;0.009639;298.7;0.014985;0.024605;2024-03-02 16:00;2.6;361.3;2024-03-01 22:00;1.2;0.029639;2024-03-02 16:00;2.0;137.33;2024-03-02 15:30;316.9;4414;422865;1.033
583;extreme;198;1575;0.015061;247.9;0.020174;0.030574;2024-03-04 18:15;2.0;338.1;2024-03-03 21:30;1.4;0.035628;2024-03-04 18:15;1.8;220.34;2024-03-04 19:15;232.3;4182;423552;0.978
584;extreme;197;1578;0.027915;241.6;0.0327;0.384237;2024-03-07 16:45;13.8;306.4;2024-03-07 10:45;1.3;0.388783;2024-03-07 16:45;11.9;2073.24;2024-03-07 16:15;229.3;4394;423521;1.027
585;elevated;198;1574;0.026593;294.4;0.031228;0.066613;2024-03-08 15:00;2.5;400.8;2024-03-09 16:30;1.4;0.071142;2024-03-08 15:00;2.3;384.2;2024-03-08 15:00;246.4;4482;423502;1.047
586;extreme;200;1570;0.043507;387.5;0.048625;0.118253;2024-03-11 18:00;2.7;513.1;2024-03-11 21:30;1.3;0.124047;2024-03-11 18:00;2.6;659.99;2024-03-11 17:45;439.3;6348;418766;1.493
587;extreme;204;1567;0.048856;426.4;0.054638;0.30097;2024-03-12 23:15;6.2;554.7;2024-03-13 22:45;1.3;0.307011;2024-03-12 23:15;5.6;1244.43;2024-03-12 23:15;453.1;7052;412294;1.682
588;extreme;207;1559;0.079502;454.8;0.085397;0.235243;2024-03-15 11:45;3.0;569.4;2024-03-14 21:15;1.3;0.241277;2024-03-15 11:45;2.8;1167.83;2024-03-15 19:30;510.2;10300;405151;2.479
